product_name,category,product_url,price,original_price,sale_price,image_url,product_type
Kéo Phẫu Thuật,*Giải phóng hàng tồn,https://tinnha.vn/shop/sales/keo-phau-thuat/,,"780,000 ₫","468,000 ₫",https://tinnha.vn/wp-content/uploads/2024/06/Kéo-phẫu-thuật.jpg,simple
"Mũi Mài Chỉnh Composite 1,2mm",Mũi khoan,https://tinnha.vn/shop/mui-khoan-kim-cuong/mui-mai-chinh-composite-12mm-3/,"390,000 ",,,https://tinnha.vn/wp-content/uploads/2024/02/167-012XF-1-1-1.jpg,simple
"Mũi Khoan Trụ Dẫn Cylinder 1,8mm",Mũi khoan,https://tinnha.vn/shop/mui-khoan-kim-cuong/mui-khoan-tru-dan-cylinder-18mm/,"860,000 ",,,https://tinnha.vn/wp-content/uploads/2024/03/508C-018F-1-1.jpg,simple
Bộ Mũi Cắt Mô Mềm (Soft Tissues Trimmer),Dụng cụ Hàn Quốc,https://tinnha.vn/shop/dung-cu-han-quoc/bo-mui-cat-mo-mem-soft-tissues-trimmer/,"16,440,000 ",,,https://tinnha.vn/wp-content/uploads/2022/08/cb506e09838f4ed1179e.jpg,simple
Mũi Khoan Đầu Nón Ngược 1mm,Mũi khoan,https://tinnha.vn/shop/mui-khoan-kim-cuong/mui-khoan-dau-non-nguoc-1mm/,"350,000 ",,,https://tinnha.vn/wp-content/uploads/2024/02/010-010M-1-1-1.jpg,simple
Lò xo thép mở khoảng/ Lò xo đẩy,Lò xo,https://tinnha.vn/shop/chinh-nha/lo-xo/lo-xo-thep-mo-khoang-lo-xo-day/,"300,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/lo-xo-thep-mo-khoang.jpg,simple
Kềm cắt xa (Ms: 6101-6102),Kềm cắt xa,https://tinnha.vn/shop/dung-cu/kem-cat-xa/kem-cat-xa-ms-6101-6102/,"789,000  – 879,000",,,https://tinnha.vn/wp-content/uploads/2024/04/6101-6102_Kem-cat-xa.png,configurable
Trâm S-BLUE,Trâm nội nha,https://tinnha.vn/shop/noi-nha/tram-noi-nha/tram-s-blue/,"385,000 ",,,https://tinnha.vn/wp-content/uploads/2023/07/tram-s-blue-01-1-1.jpg,simple
Cây nạo xương (Ms: 3521-3526),Dụng cụ TN,https://tinnha.vn/shop/dung-cu/cay-nao-xuong-ms-3521/,"109,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/TN5_Cay-nao-xuong-05-1-1.png,simple
Reamer File,Nội nha,https://tinnha.vn/shop/noi-nha/reamer/,"75,000  – 80,000",,,https://tinnha.vn/wp-content/uploads/2023/07/reamer-file-01-1-1.jpg,configurable
Cây nạo xương (Ms: 5512-5514),Dụng cụ TN,https://tinnha.vn/shop/dung-cu/cay-nao-xuong-ms-5512-5514/,"699,000  – 709,000",,,https://tinnha.vn/wp-content/uploads/2024/04/TN5_Cay-nao-xuong-08-1-1.png,configurable
Cây nạo túi nha chu (Ms: 3111-3112),Dụng cụ TN,https://tinnha.vn/shop/dung-cu/boc-tach-ms-3111-3112/,"109,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/2a_Nao-tui-nha-chu-06-1.png,simple
Dụng cụ phục hồi (Ms: 4224-4226),Dụng cụ TN,https://tinnha.vn/shop/dung-cu/dung-cu-phuc-hoi-ms-4224/,"79,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/4224_Dung-cu-phuc-hoi-copy-1-1.png,simple
Xi Măng Gắn Vĩnh Viễn Total C-ram,Vật liệu gắn,https://tinnha.vn/shop/vat-lieu-gan/xi-mang-gan-vinh-vien-total-c-ram-2/,"1,950,000 ",,,https://tinnha.vn/wp-content/uploads/2024/07/total-cram.jpg,simple
"Mũi Trụ Thuôn Đầu Phẳng 1,6mm",Mũi khoan,https://tinnha.vn/shop/mui-khoan-kim-cuong/mui-tru-thuon-dau-phang-16mm-2/,"390,000 ",,,https://tinnha.vn/wp-content/uploads/2024/02/173-016F-1-1-2.jpg,simple
"Mũi Khoan Khai Thác 1,6mm",Mũi khoan,https://tinnha.vn/shop/mui-khoan-kim-cuong/mui-khoan-khai-thac-16mm/,"390,000 ",,,https://tinnha.vn/wp-content/uploads/2024/03/465-016F-1-1-1.jpg,simple
Kéo Cắt Phẫu Thuật ( Ms: 2105),Dụng cụ TN,https://tinnha.vn/shop/dung-cu/keo-cat-phau-thuat-ms-2105/,"249,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/TN1b_Keo-cat-phau-thuat-04-1.png,simple
Cây đo túi (Ms: 1508-1522),Dụng cụ TN,https://tinnha.vn/shop/dung-cu/cay-do-tui-ms-1508-1522/,"109,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/1508-1522-Cay-do-tui-1-1.png,simple
