product_id,product_name,category,price,short_description,image_url,product_type,variations
1,Xương Tổng Hợp Qbone Plug,"Vật liệu cấy ghép, Xương tổng hợp","1,090,000  – 1,290,000 ",,https://tinnha.vn/wp-content/uploads/2024/07/QBONPLUS_Hình-có-giá-1.jpg,configurable,"[{""variation_code"": ""dbqbpps"", ""variation_price"": ""1090000\u20ab""}, {""variation_code"": ""dbqbppm"", ""variation_price"": ""1290000\u20ab""}]"
2,Xi Măng Gắn Vĩnh Viễn Total C-ram,Vật liệu gắn,"1,950,000 ","Thương hiệu: Itena
Xuất xứ: Pháp
Total cram là cement dán dính lưỡng trùng hợp (quang trùng hợp + tự trùng hợp) nên độ co ngót thấp, dán dính tốt, hạn chế ê buốt trên răng còn tuỷ sống/ sứ Zirconia.
CTKM: Mua 2 tặng 1",https://tinnha.vn/wp-content/uploads/2024/07/total-cram.jpg,simple,
3,Xi Măng Đa Năng Totalcem,Vật liệu gắn,"2,950,000 ","Thương hiệu: Itena
Xuất xứ: Pháp
Xi măng đa năng Totalcem kết hợp các bước etching, primer, bonding và cement trong cùng một sản phẩm: giúp đơn giản hóa quy trình làm việc, không gây ê buốt sau khi gắn
CTKM: Mua 5 tặng 1",https://tinnha.vn/wp-content/uploads/2024/07/totalcem.jpg,simple,
4,Mắc Cài Comfort Zone,"Chỉnh nha, *Giải phóng hàng tồn, Chỉnh nha, Mắc cài","660,000  395,000 ","Thương hiệu: GH
Xuất xứ: Mỹ
Công nghệ cao cấp, an toàn tiuyệt đổi chuẩn Hoa Kỳ",https://tinnha.vn/wp-content/uploads/2024/06/Artboard-1.png,simple,
5,Mắc Cài MiniPreval SL,"Chỉnh nha, Mắc cài","4,500,000 ","Thương hiệu: GH
Xuất xứ: Mỹ
Công nghệ cao cấp, an toàn tiuyệt đổi chuẩn Hoa Kỳ",https://tinnha.vn/wp-content/uploads/2024/06/Artboard-1-copy.png,simple,
6,Mắc Cài Agility,"Chỉnh nha, Mắc cài","3,290,000 ","Thương hiệu: GH
Xuất xứ: Mỹ
Công nghệ cao cấp, an toàn tiuyệt đổi chuẩn Hoa Kỳ",https://tinnha.vn/wp-content/uploads/2024/06/Artboard-1-copy-5.png,simple,
7,Mắc Cài Tube Agility,"Chỉnh nha, *Giải phóng hàng tồn, Chỉnh nha, Mắc cài","110,000  55,000 ","Thương hiệu: GH
Xuất xứ: Mỹ
Công nghệ cao cấp, an toàn tiuyệt đổi chuẩn Hoa Kỳ",https://tinnha.vn/wp-content/uploads/2024/06/Artboard-1-copy-4.png,simple,
8,Mắc Cài MiniPreval,"Chỉnh nha, *Giải phóng hàng tồn, Chỉnh nha, Mắc cài","1,290,000  799,000 ","Thương hiệu: GH
Xuất xứ: Mỹ
Công nghệ cao cấp, an toàn tiuyệt đổi chuẩn Hoa Kỳ",https://tinnha.vn/wp-content/uploads/2024/06/Artboard-1-copy-3.png,simple,
9,Mắc Cài MiniPreval Twin,"Chỉnh nha, *Giải phóng hàng tồn, Chỉnh nha, Mắc cài","1,350,000  799,000 ","Thương hiệu: GH
Xuất xứ: Mỹ
Công nghệ cao cấp, an toàn tiuyệt đổi chuẩn Hoa Kỳ",https://tinnha.vn/wp-content/uploads/2024/06/Artboard-1-copy-2.png,simple,
10,Thun Grey Hollow Thread,"*Giải phóng hàng tồn, Chỉnh nha","220,000  123,200 ","Thương hiệu: GH
Xuất xứ: Mỹ
Công nghệ cao cấp, an toàn tiuyệt đổi chuẩn Hoa Kỳ",https://tinnha.vn/wp-content/uploads/2024/06/thun-chỉnh-nha-clear.jpg,configurable,"[{""variation_code"": ""tbcl030"", ""variation_price"": ""123200\u20ab""}, {""variation_code"": ""tbcl025"", ""variation_price"": ""123200\u20ab""}]"
11,Thun Clear Hollow Thread,"*Giải phóng hàng tồn, Chỉnh nha","220,000  123,200 ","Thương hiệu: GH
Xuất xứ: Mỹ
Công nghệ cao cấp, an toàn tiuyệt đổi chuẩn Hoa Kỳ",https://tinnha.vn/wp-content/uploads/2024/06/thun-chỉnh-nha-grey.jpg,configurable,"[{""variation_code"": ""tbcl030"", ""variation_price"": ""123200\u20ab""}, {""variation_code"": ""tbcl025"", ""variation_price"": ""123200\u20ab""}]"
12,"Thun Clear Solid Thread, 030","*Giải phóng hàng tồn, Chỉnh nha","220,000  123,200 ","Thương hiệu: GH
Xuất xứ: Mỹ
Công nghệ cao cấp, an toàn tiuyệt đổi chuẩn Hoa Kỳ",https://tinnha.vn/wp-content/uploads/2024/06/thun-chỉnh-nha-3.jpg,simple,
13,Thun Elastics Amber,"*Giải phóng hàng tồn, Chỉnh nha","13,000  – 14,800 ","Thương hiệu: GH
Xuất xứ: Mỹ
Công nghệ cao cấp, an toàn tiuyệt đổi chuẩn Hoa Kỳ
Date: 29/9/2024",https://tinnha.vn/wp-content/uploads/2024/06/thun-chỉnh-nha.jpg,configurable,"[{""variation_code"": ""medium-3-8"", ""variation_price"": ""14800\u20ab""}, {""variation_code"": ""medium-1-4"", ""variation_price"": ""14000\u20ab""}, {""variation_code"": ""light-5-16"", ""variation_price"": ""13000\u20ab""}, {""variation_code"": ""light-3-8"", ""variation_price"": ""14100\u20ab""}, {""variation_code"": ""light-1-8"", ""variation_price"": ""13900\u20ab""}]"
14,Thun  Metalic Silver Dyna-Link,"*Giải phóng hàng tồn, Chỉnh nha","217,500  – 236,200 ","Thương hiệu: GH
Xuất xứ: Mỹ
Công nghệ cao cấp, an toàn tiuyệt đổi chuẩn Hoa Kỳ",https://tinnha.vn/wp-content/uploads/2024/06/thun-chỉnh-nha-meta.jpg,configurable,"[{""variation_code"": ""short"", ""variation_price"": ""217500\u20ab""}, {""variation_code"": ""lien-tuc"", ""variation_price"": ""236200\u20ab""}]"
15,Thun Clear Dyna-Link Short,"*Giải phóng hàng tồn, Chỉnh nha","375,000  232,500 ","Thương hiệu: GH
Xuất xứ: Mỹ
Công nghệ cao cấp, an toàn tiuyệt đổi chuẩn Hoa Kỳ
Date: 29/9/2024",https://tinnha.vn/wp-content/uploads/2024/06/thun-chuỗi-dyna-link.jpg,simple,
16,Cone Chính Có Vạch,"*Giải phóng hàng tồn, Nội nha","32,500  – 40,000 ","Thương hiệu: GGT
Xuất xứ: Đài Loan
Gutta Percha Points 2%
Có sai số thấp nhất thị trường (3%)
Dùng trám bít ống tuỷ trong điều trị nội nha",https://tinnha.vn/wp-content/uploads/2024/06/cone-chính-có-vạch.jpg,configurable,"[{""variation_code"": ""0-02_50"", ""variation_price"": ""32500\u20ab""}, {""variation_code"": ""0-02_45-80"", ""variation_price"": ""40000\u20ab""}, {""variation_code"": ""0-02_45"", ""variation_price"": ""40000\u20ab""}, {""variation_code"": ""0-02_40"", ""variation_price"": ""40000\u20ab""}, {""variation_code"": ""0-02_35"", ""variation_price"": ""40000\u20ab""}, {""variation_code"": ""0-02_15-40"", ""variation_price"": ""40000\u20ab""}]"
17,Cone Chính Không Vạch (Dùng cho Protaper),"*Giải phóng hàng tồn, Dụng cụ Hàn Quốc, Dụng cụ phẫu thuật Hàn Quốc, Nội nha","110,000  68,000 ","Thương hiệu: GGT
Xuất xứ: Đài Loan
Có sai số thấp nhất thị trường (3%)
Thấm hút nhanh, hiệu quả trong quá trình điều trị nội nha",https://tinnha.vn/wp-content/uploads/2024/06/cone-chính-k-có-vạch.jpg,simple,
